áíkayisaisttooma,áíkayisaisttoom,áíkayisaisttoom,áíkayisaisttoom,NA,,"pers, elsewhere assumed"
áíkayissaissapiwa,áíkayissaissapi,áíkayissaissapi,áíkayissaissapi,NA,,"pers, elsewhere assumed"
áíksikkominsstsiikina,áíksikkominsstsiikin,áíksikkominsstsiikin,áíksikkominsstsiikin,NA,,"pers, elsewhere assumed"
áíksikkssksisiwa,áíksikkssksisi,áíksikkssksisi,áíksikkssksisi,NA,,"pers, elsewhere assumed"
áíksiniwa,áíksini,áíksini,áíksini,NA,,
aiksinoosaka,aiksinoosak,aiksinoosak,aiksinoosak,NA,,"pers, elsewhere assumed"
aiksippoyinnomoawa,aiksippoyinnomoa,aiksippoyinnomoa,aiksippoyinnomoa,NA,,"pers, elsewhere assumed"
aiksisstoomatapisttsipatakkayayiwa,aiksisstoomatapisttsipatakkayayi,aiksisstoomatapisttsipatakkayayi,aiksisstoomatapisttsipatakkayayi,NA,,"pers, elsewhere assumed"
áíksisstoomatokska'siwa,áíksisstoomatokska'si,áíksisstoomatokska'si,áíksisstoomatokska'si,NA,,"pers, elsewhere assumed"
aiksisstoomatomaahkaawa,aiksisstoomatomaahkaa,aiksisstoomatomaahkaa,aiksisstoomatomaahkaa,NA,,"pers, elsewhere assumed"
aiksisstoomatoowa,aiksisstoomatoo,aiksisstoomatoo,aiksisstoomatoo,NA,,"pers, elsewhere assumed"
áímmóniisiwa,áímmóniisi,áímmóniisi,áímmóniisi,NA,,changed m to mm
áímmoyo'kiniomitaawa,áímmoyo'kiniomitaa,áímmoyo'kiniomitaa,áímmoyo'kiniomitaa,NA,,changed m to mm
áínaka'siwa,áínaka'si,áínaka'si,áínaka'si,NA,,"pers, elsewhere assumed"
áípakkaka'siwa,áípakkaka'si,áípakkaka'si,áípakkaka'si,NA,,"pers, elsewhere assumed"
áípakkohsoyiwa,áípakkohsoyi,áípakkohsoyi,áípakkohsoyi,NA,,"pers, elsewhere assumed"
áípakkohtamma,áípakkohtamm,áípakkohtamm,áípakkohtamm,NA,,"changed m to mm; pers, elsewhere assumed"
áípapomma,áípapomm,áípapomm,áípapomm,NA,,"changed m to mm; pers, elsewhere assumed"
áípasstaamiinaamma,áípasstaamiinaamm,áípasstaamiinaamm,áípasstaamiinaamm,NA,,"changed m to mm; pers, elsewhere assumed"
áípi'kssokinakiwa,áípi'kssokinaki,áípi'kssokinaki,áípi'kssokinaki,NA,,"pers, elsewhere assumed"
áípottaawa,áípottaa,áípottaa,áípottaa,NA,,"pers, elsewhere assumed"
áísaayoohkomiwa,áísaayoohkomi,áísaayoohkomi,áísaayoohkomi,NA_IM,,elsewhere assumed
