PS/ikipp,%^ICkipp,i2kipp,%^ICi2kipp,PSBOUND2,,IC past
PS/ikippa',i2kippa',i2kippa',i2kippa',PSBOUND2,,"initial, pers assumed"
PS/ikíppoa(w/y),i2kíppoaG,i2kíppoaG,i2kíppoaG,PSBOUND2,,
PS/iki'ta(w/y),%^ICki'taG,i2ki'taG,%^ICi2ki'taG,PSBOUND2,,IC past
PS/ikkahs,i2kkahs,i2kkahs,i2kkahs,PSBOUND2,,
PS/ikkak,i2kkak,i2kkak,i2kkak,PSBOUND2,,ikakk variant - relaxer?
PS/ikkam,i2kkam,i2kkam,i2kkam,PSBOUND2,,
PS/ikkam,kam,,,PSBOUND2,,
PS/ikkan,i2kkan,i2kkan,i2kkan,PSBOUND2,,
PS/ikkia'(w/y),ikkia'G,ikkia'G,ikkia'G,PSBOUND2,,"pers assumed, cf ikkia'y, unsure of relationship"
PS/ikkia'y,ikkia'y,ikkia'y,ikkia'y,PSBOUND2,,"pers assumed, cf ikkia'(w/y), unsure of relationship"
PS/ikkihkini,i2kkihkini,i2kkihkini,i2kkihkini,PSBOUND2,,
PS/ikkina,i2kkina,i2kkina,i2kkina,PSBOUND2,,
PS/ikksk,i2kksk,i2kksk,i2kksk,PSBOUND2,,
PS/ikkst,i2kkst,i2kkst,i2kkst,PSBOUND2,,
PS/iksi(w/y),i2ksiG,i2ksiG,i2ksiG,PSBOUND2,,ikso(w/y) variant - relaxer?
PS/iksiiksk,i2ksiiksk,i2ksiiksk,i2ksiiksk,PSBOUND2,,
PS/iksikk,ksikk,i2ksikk,i2ksikk,PSBOUND2,,
PS/iksim,i2ksim,i2ksim,i2ksim,PSBOUND2,,
PS/iksim,ksim,,,PSBOUND2,,
PS/iksimat,i2ksimat,i2ksimat,i2ksimat,PSBOUND2,,
PS/iksimat,ksimat,,,PSBOUND2,,
PS/iksi's,%^ICksi's,i2ksi's,%^ICi2ksi's,PSBOUND2,,IC past
PS/iksisap,i2ksisap,i2ksisap,i2ksisap,PSBOUND2,,
PS/iksissta'p,%^ICi2ksissta'p,i2ksissta'p,%^ICi2ksissta'p,PSBOUND2,,IC past
PS/iksissto,%^ICi2ksissto,%^ICi2ksissto,%^ICi2ksissto,PSBOUND2,,
PS/iksissto(w/y),i2ksisstoG,i2ksisstoG,i2ksisstoG,PSBOUND2,,
PS/iksissto(w/y),ksisstoG,,,PSBOUND2,,
PS/iksist,ksist,i2ksist,i2ksist,PSBOUND2,,
PS/iksisto,i2ksisto,i2ksisto,i2ksisto,PSBOUND2,,
PS/iksisto,ksiisto,,,PSBOUND2,,
PS/iksksowa',iksksowa',iksksowa',iksksowa',PSBOUND2,,"pers, elsewhere assumed, i2 unknown"
PS/ikssto,i2kssto,i2kssto,i2kssto,PSBOUND2,,"pers, elsewhere assumed, i2 taken from iksstonimmaa, assuming trimmed abreast for bangs which may be very wrong"
PS/ikstsina',aakstsina',aakstsina',aakstsina',PSBOUND2,,"lacking evidence, only examples with aaksistina', relationshiip with sstsina'?"
PS/imak,imak,imak,imak,PSBOUND2,,"pers, elsewhere assumed, i2 unknown"
PS/imi,i2mi,i2mi,i2mi,PSBOUND2,,
PS/immak,i2mmak,i2mmak,i2mmak,PSBOUND2,,
PS/immoyi,i2mmoyi,i2mmoyi,i2mmoyi,PSBOUND2,,
PS/inai't,inai't,inai't,inai't,PSBOUND2,,
PS/i'nak,i2'nak,i2'nak,i2'nak,PSBOUND2,,
PS/inap,yi2inap,yi2inap,yi2inap,PSBOUND2,,"inap in dict, but seems like yiinap is attested more"
PS/inikk,i2nikk,i2nikk,i2nikk,PSBOUND2,,cf iinik
PS/inn,i2nn,i2nn,i2nn,PSBOUND2,,
PS/innaahkoot,innaahkoot,innaahkoot,innaahkoot,PSBOUND2,,i2 unknown
PS/innis,i2nnis,i2nnis,i2nnis,PSBOUND2,,
PS/inno,i2nno,i2nno,i2nno,PSBOUND2,,
PS/inok,i2nok,i2nok,i2nok,PSBOUND2,,
PS/inssta(w/y),i2nsstaG,i2nsstaG,i2nsstaG,PSBOUND2,,
PS/ipahkitap,i2pahkitap,i2pahkitap,i2pahkitap,PSBOUND2,,initial assumed
PS/ipahp,paahp,i2pahp,i2pahp,PSBOUND2,,
PS/ipahs,apahs,i2pahs,i2pahs,PSBOUND2,,
PS/ipahtsi,paahtsi,i2pahtsi,i2pahtsi,PSBOUND2,,
PS/ipahtsik,paahtsik,i2pahtsik,i2pahtsik,PSBOUND2,,
PS/ipákkssa,i2pákkssa,i2pákkssa,i2pákkssa,PSBOUND2,,pers assumed
PS/ipakska,i2pakska,i2pakska,i2pakska,PSBOUND2,,
PS/ipana,ipana,ipana,ipana,PSBOUND2,,"pers assumed, i2 unknown"
PS/ipann,i2pann,i2pann,i2pann,PSBOUND2,,
PS/ipapa,i2papa,i2papa,i2papa,PSBOUND2,,
PS/ipii(w/y),piiG,i2piiG,i2piiG,PSBOUND2,,
PS/ipiihk,piihk,i2piihk,i2piihk,PSBOUND2,,
PS/ipiitsiy,piitsiy,%^SPi2piitsiy,i2piitsiy,PSBOUND2,,cf piitsiyoohk
PS/ipi'k,i2pi'k,i2pi'k,i2pi'k,PSBOUND2,,
PS/ipi'k,pi'k,,,PSBOUND2,,
PS/ipíttsik,%^ICi2píttsik,i2píttsik,%^ICi2píttsik,PSBOUND2,,"IC past, pers assumed"
PS/ipo(w/y),i2poG,i2poG,i2poG,PSBOUND2,,lacking evidence
PS/ipo't,i2po't,i2po't,i2po't,PSBOUND2,,
PS/ippat,i2ppat,i2ppat,i2ppat,PSBOUND2,,
PS/ippoa(w/y),ippoaG,ippoaG,ippoaG,PSBOUND2,,"not in online dictionary, no examples, all forms assumed"
PS/ippot,i2ppot,i2ppot,i2ppot,PSBOUND2,,"pers, elsewhere assumed"
